id,name,shortName,mode,networkId,impactedObjects
line:IDFM:C00062,Express 60 (future 7806),60,Bus,network:IDFM:1081,"[{'type': 'line', 'id': 'line:IDFM:C00062', 'name': 'Express 60 (future 7806)', 'disruptionIds': ['4bbccb32-dfb5-11ef-b2cf-0a58a9feac02']}, {'type': 'stop_point', 'id': 'stop_point:IDFM:5970', 'name': 'Mantes-la-Ville Mairie', 'disruptionIds': ['0bbdedb6-cea5-11ef-b1c7-0a58a9feac02', '4e10e836-cea4-11ef-bc79-0a58a9feac02']}, {'type': 'stop_point', 'id': 'stop_point:IDFM:5761', 'name': 'Mantes-la-Ville Mairie', 'disruptionIds': ['0bbdedb6-cea5-11ef-b1c7-0a58a9feac02', '4e10e836-cea4-11ef-bc79-0a58a9feac02']}]"
line:IDFM:C00496,3910 (future 5339),3910,Bus,network:IDFM:1081,"[{'type': 'line', 'id': 'line:IDFM:C00496', 'name': '3910 (future 5339)', 'disruptionIds': ['5baae61a-c1e1-11ef-b3f5-0a58a9feac02']}]"
line:IDFM:C00522,3935A (future 5227),3935A,Bus,network:IDFM:1081,"[{'type': 'line', 'id': 'line:IDFM:C00522', 'name': '3935A (future 5227)', 'disruptionIds': ['12a68f5e-9613-11ef-b0c7-0a58a9feac02']}]"
line:IDFM:C00182,A (future 5301),A,Bus,network:IDFM:1081,"[{'type': 'line', 'id': 'line:IDFM:C00182', 'name': 'A (future 5301)', 'disruptionIds': ['848d2e90-d4c8-11ef-aa1a-0a58a9feac02']}]"
line:IDFM:C00424,M (future 5289),M,Bus,network:IDFM:1081,"[{'type': 'line', 'id': 'line:IDFM:C00424', 'name': 'M (future 5289)', 'disruptionIds': ['3f7ec33e-d7d1-11ef-abd9-0a58a9feac02']}, {'type': 'stop_point', 'id': 'stop_point:IDFM:5750', 'name': 'Place Foch', 'disruptionIds': ['ff5f1896-d80a-11ef-b2cf-0a58a9feac02']}]"
line:IDFM:C00423,P (future 5206),P,Bus,network:IDFM:1081,"[{'type': 'line', 'id': 'line:IDFM:C00423', 'name': 'P (future 5206)', 'disruptionIds': ['3f7ec33e-d7d1-11ef-abd9-0a58a9feac02']}, {'type': 'stop_point', 'id': 'stop_point:IDFM:5750', 'name': 'Place Foch', 'disruptionIds': ['ff5f1896-d80a-11ef-b2cf-0a58a9feac02']}]"
line:IDFM:C00414,Q (future 5214),Q,Bus,network:IDFM:1081,"[{'type': 'line', 'id': 'line:IDFM:C00414', 'name': 'Q (future 5214)', 'disruptionIds': ['3f7ec33e-d7d1-11ef-abd9-0a58a9feac02']}, {'type': 'stop_point', 'id': 'stop_point:IDFM:5750', 'name': 'Place Foch', 'disruptionIds': ['ff5f1896-d80a-11ef-b2cf-0a58a9feac02']}]"
line:IDFM:C00422,V (future 5219),V,Bus,network:IDFM:1081,"[{'type': 'line', 'id': 'line:IDFM:C00422', 'name': 'V (future 5219)', 'disruptionIds': ['3f7ec33e-d7d1-11ef-abd9-0a58a9feac02']}, {'type': 'stop_point', 'id': 'stop_point:IDFM:5750', 'name': 'Place Foch', 'disruptionIds': ['ff5f1896-d80a-11ef-b2cf-0a58a9feac02']}]"
line:IDFM:C00769,1202,1202,Bus,network:IDFM:1082,"[{'type': 'line', 'id': 'line:IDFM:C00769', 'name': '1202', 'disruptionIds': ['063a6230-d97b-11ef-a594-0a58a9feac02']}]"
line:IDFM:C00774,1207,1207,Bus,network:IDFM:1082,"[{'type': 'line', 'id': 'line:IDFM:C00774', 'name': '1207', 'disruptionIds': ['053c2894-9a9e-11ef-aca5-0a58a9feac02']}, {'type': 'stop_point', 'id': 'stop_point:IDFM:8949', 'name': 'Les Plants - Préfecture RER', 'disruptionIds': ['053c2894-9a9e-11ef-aca5-0a58a9feac02']}, {'type': 'stop_point', 'id': 'stop_point:IDFM:10138', 'name': 'Les Plants - Préfecture RER', 'disruptionIds': ['053c2894-9a9e-11ef-aca5-0a58a9feac02']}]"
